Dates,Dam,Daily_Count_Current_Year,Daily_Count_Last_Year,Ten_Year_Average_Daily_Count
1-Jan,BON,3,10,10
2-Jan,BON,7,10,10
3-Jan,BON,9,14,8
4-Jan,BON,11,1,9
5-Jan,BON,9,2,11
6-Jan,BON,4,6,10
7-Jan,BON,0,27,11
8-Jan,BON,6,21,11
9-Jan,BON,8,6,7
10-Jan,BON,11,8,10
11-Jan,BON,8,12,10
12-Jan,BON,10,5,10
13-Jan,BON,14,13,10
14-Jan,BON,6,6,12
15-Jan,BON,20,5,8
16-Jan,BON,17,8,11
17-Jan,BON,10,7,8
18-Jan,BON,8,11,10
19-Jan,BON,9,7,11
20-Jan,BON,5,7,13
21-Jan,BON,2,24,11
22-Jan,BON,10,24,10
23-Jan,BON,1,25,15
24-Jan,BON,5,24,15
25-Jan,BON,8,24,15
26-Jan,BON,0,16,8
27-Jan,BON,10,26,9
28-Jan,BON,10,21,9
29-Jan,BON,8,15,9
30-Jan,BON,8,16,11
31-Jan,BON,4,18,7
1-Feb,BON,3,21,9
2-Feb,BON,5,26,8
3-Feb,BON,6,20,9
4-Feb,BON,2,4,6
5-Feb,BON,3,14,6
6-Feb,BON,6,32,9
7-Feb,BON,8,50,13
8-Feb,BON,4,30,12
9-Feb,BON,4,17,9
10-Feb,BON,4,17,14
11-Feb,BON,3,12,11
12-Feb,BON,4,30,15
13-Feb,BON,2,17,13
14-Feb,BON,1,28,14
15-Feb,BON,4,9,20
16-Feb,BON,11,7,19
17-Feb,BON,6,10,16
18-Feb,BON,3,9,15
19-Feb,BON,0,8,12
20-Feb,BON,3,5,13
21-Feb,BON,4,15,16
22-Feb,BON,2,38,28
23-Feb,BON,1,41,25
24-Feb,BON,5,32,25
25-Feb,BON,4,49,22
26-Feb,BON,6,86,26
27-Feb,BON,5,71,30
28-Feb,BON,14,50,27
1-Mar,BON,24,54,34
2-Mar,BON,4,35,28
3-Mar,BON,7,20,27
4-Mar,BON,11,49,35
5-Mar,BON,11,36,31
6-Mar,BON,7,37,37
7-Mar,BON,26,35,32
8-Mar,BON,25,34,22
9-Mar,BON,35,14,30
10-Mar,BON,21,15,46
11-Mar,BON,23,44,43
12-Mar,BON,25,28,40
13-Mar,BON,19,44,37
14-Mar,BON,21,29,50
15-Mar,BON,14,17,54
16-Mar,BON,12,18,68
17-Mar,BON,23,21,54
18-Mar,BON,20,27,54
19-Mar,BON,26,42,51
20-Mar,BON,17,46,39
21-Mar,BON,22,25,53
22-Mar,BON,14,36,49
23-Mar,BON,23,35,61
24-Mar,BON,23,32,61
25-Mar,BON,28,34,47
26-Mar,BON,8,26,47
27-Mar,BON,20,25,51
28-Mar,BON,30,13,59
29-Mar,BON,23,38,55
30-Mar,BON,19,54,60
31-Mar,BON,14,30,55
1-Apr,BON,6,3,50
2-Apr,BON,25,30,51
3-Apr,BON,43,25,46
4-Apr,BON,44,30,40
5-Apr,BON,19,34,43
6-Apr,BON,25,33,45
7-Apr,BON,17,40,42
8-Apr,BON,12,61,45
9-Apr,BON,9,36,40
10-Apr,BON,20,54,30
11-Apr,BON,7,32,30
12-Apr,BON,9,26,29
13-Apr,BON,14,24,29
14-Apr,BON,16,31,29
15-Apr,BON,12,24,31
16-Apr,BON,12,26,22
17-Apr,BON,4,19,24
18-Apr,BON,5,20,26
19-Apr,BON,10,13,26
20-Apr,BON,8,22,25
21-Apr,BON,1,13,26
22-Apr,BON,5,22,27
23-Apr,BON,8,12,22
24-Apr,BON,4,5,22
25-Apr,BON,6,14,22
26-Apr,BON,7,14,24
27-Apr,BON,6,19,27
28-Apr,BON,6,7,28
29-Apr,BON,13,17,29
30-Apr,BON,4,11,28
1-May,BON,4,11,29
2-May,BON,3,6,29
3-May,BON,6,7,28
4-May,BON,8,13,28
5-May,BON,7,12,23
6-May,BON,5,3,28
7-May,BON,0,9,36
8-May,BON,0,4,30
9-May,BON,2,7,24
10-May,BON,3,11,25
11-May,BON,4,10,29
12-May,BON,5,12,27
13-May,BON,1,6,31
14-May,BON,10,-1,37
15-May,BON,8,2,32
16-May,BON,3,6,37
17-May,BON,2,6,39
18-May,BON,1,6,41
19-May,BON,3,6,37
20-May,BON,2,5,36
21-May,BON,2,10,40
22-May,BON,0,11,38
23-May,BON,0,8,40
24-May,BON,8,13,39
25-May,BON,7,7,37
26-May,BON,8,9,41
27-May,BON,9,6,38
28-May,BON,5,17,44
29-May,BON,7,18,50
30-May,BON,11,21,49
31-May,BON,9,17,56
1-Jun,BON,11,16,62
2-Jun,BON,10,26,65
3-Jun,BON,16,31,70
4-Jun,BON,13,35,75
5-Jun,BON,10,30,79
6-Jun,BON,8,29,80
7-Jun,BON,12,50,94
8-Jun,BON,6,29,101
9-Jun,BON,6,53,114
10-Jun,BON,11,55,117
11-Jun,BON,33,43,118
12-Jun,BON,14,43,128
13-Jun,BON,23,60,121
14-Jun,BON,18,55,121
15-Jun,BON,32,74,147
16-Jun,BON,20,86,158
17-Jun,BON,19,88,162
18-Jun,BON,20,79,180
19-Jun,BON,40,98,200
20-Jun,BON,69,145,213
21-Jun,BON,78,158,225
22-Jun,BON,57,135,258
23-Jun,BON,44,142,264
24-Jun,BON,57,173,268
25-Jun,BON,105,186,301
26-Jun,BON,95,191,333
27-Jun,BON,123,216,347
28-Jun,BON,120,253,384
29-Jun,BON,169,257,434
30-Jun,BON,158,270,438
1-Jul,BON,121,328,471
2-Jul,BON,153,412,514
3-Jul,BON,137,430,610
4-Jul,BON,180,478,617
